Symbol,Name,Sector,Industry
AAA,Công ty Cổ phần Nhựa An Phát Xanh,Consumer Cyclical,Packaging & Containers
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Financial Services,Banks - Regional
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Real Estate,Real Estate - Diversified
ANV,Công ty Cổ phần Nam Việt,Consumer Defensive,Farm Products
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Real Estate,Real Estate Services
BCG,Công ty Cổ phần Tập đoàn Bamboo Capital,Industrials,Conglomerates
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Real Estate,Real Estate - Diversified
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Financial Services,Banks - Regional
BMP,Công ty Cổ phần Nhựa Bình Minh,Industrials,Building Products & Equipment
BVH,Tập đoàn Bảo Việt,Financial Services,Insurance - Diversified
BWE,Công ty Cổ phần - Tổng Công ty Nước – Môi trường Bình Dương,Industrials,Waste Management
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM,Industrials,Engineering & Construction
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Technology,Information Technology Services
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Real Estate,Real Estate Services
CTD,Công ty Cổ phần Xây dựng COTECCONS,Industrials,Engineering & Construction
CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Financial Services,Banks - Regional
CTR,Tổng Công ty Cổ phần Công trình Viettel,Industrials,Engineering & Construction
DBC,Công ty Cổ phần Tập đoàn DABACO Việt Nam,Consumer Defensive,Farm Products
DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Basic Materials,Agricultural Inputs
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Basic Materials,Specialty Chemicals
DGW,Công ty Cổ phần Thế Giới Số,Technology,Electronics & Computer Distribution
DHC,Công ty Cổ phần Đông Hải Bến Tre,Basic Materials,Paper & Paper Products
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Real Estate,Real Estate - Development
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Basic Materials,Chemicals
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Real Estate,Real Estate - Diversified
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Real Estate,Real Estate - Development
EIB,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam,Financial Services,Banks - Regional
FPT,Công ty Cổ phần FPT,Technology,Information Technology Services
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Consumer Cyclical,Specialty Retail
FTS,Công ty Cổ phần Chứng khoán FPT,Financial Services,Capital Markets
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Energy,Oil & Gas Integrated
GEG,Công ty Cổ phần Điện Gia Lai,Utilities,Utilities - Renewable
GEX,Công ty Cổ phần Tập đoàn GELEX,Industrials,Electrical Equipment & Parts
GMD,Công ty Cổ phần GEMADEPT,Industrials,Marine Shipping
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Consumer Cyclical,Auto Parts
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,Real Estate,Real Estate - Diversified
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Financial Services,Capital Markets
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Financial Services,Banks - Regional
HDC,Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu,Real Estate,Real Estate - Development
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Real Estate,Real Estate - Development
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Industrials,Infrastructure Operations
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Basic Materials,Steel
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Basic Materials,Steel
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Basic Materials,Building Materials
IMP,Công ty Cổ phần Dược phẩm Imexpharm,Healthcare,Drug Manufacturers - Specialty & Generic
KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần,Real Estate,Real Estate Services
KDC,Công ty Cổ phần Tập đoàn Kido,Consumer Defensive,Confectioners
KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,Real Estate,Real Estate - Development
KOS,Công ty Cổ phần KOSY,Real Estate,Real Estate - Development
LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,Financial Services,Banks - Regional
MBB,Ngân hàng Thương mại Cổ phần Quân Đội,Financial Services,Banks - Regional
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Financial Services,Banks - Regional
MSN,Công ty Cổ phần Tập đoàn MaSan,Industrials,Conglomerates
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Consumer Cyclical,Specialty Retail
NKG,Công ty Cổ phần Thép Nam Kim,Basic Materials,Steel
NLG,Công ty Cổ phần Đầu tư Nam Long,Real Estate,Real Estate - Development
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Utilities,Utilities - Regulated Electric
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,Financial Services,Banks - Regional
PAN,Công ty Cổ phần Tập đoàn PAN,Consumer Defensive,Farm Products
